Outcome,number_of_internships,primary_major,Gender,primary_college,Outcome_binary,Internship_binary
Working,1,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,2,Biology,Female,College and Graduate School of Arts & Sciences,1,1
Working,2,Statistics,Male,College and Graduate School of Arts & Sciences,1,1
Working,2,Foreign Affairs,Female,College and Graduate School of Arts & Sciences,1,1
Working,1,Biology,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,0
Working,2,Government,Female,College and Graduate School of Arts & Sciences,1,1
Continuing Education,2,Engineering - Civil Engineering,Male,School of Engineering & Applied Science,0,1
Working,2,Engineering - Computer Science,Female,School of Engineering & Applied Science,1,1
Working,0,Biology,Male,College and Graduate School of Arts & Sciences,1,0
Working,0,Psychology,Female,College and Graduate School of Arts & Sciences,1,0
Working,2,Economics,Female,College and Graduate School of Arts & Sciences,1,1
Working,1,Engineering - Mechanical Engineering,Male,School of Engineering & Applied Science,1,1
Working,1,Economics,Female,College and Graduate School of Arts & Sciences,1,1
Continuing Education,0,Cognitive Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,0,0
Continuing Education,1,Engineering - Chemical Engineering,Female,School of Engineering & Applied Science,0,1
Working,2,History,Male,College and Graduate School of Arts & Sciences,1,1
Continuing Education,0,Psychology,Female,College and Graduate School of Arts & Sciences,0,0
Working,2,Engineering - Computer Science,Female,School of Engineering & Applied Science,1,1
Working,2,Engineering - Aerospace Engineering,Male,School of Engineering & Applied Science,1,1
Continuing Education,1,Statistics,Female,College and Graduate School of Arts & Sciences,0,1
Continuing Education,0,Biology,Female,College and Graduate School of Arts & Sciences,0,0
Working,1,Economics,Male,College and Graduate School of Arts & Sciences,1,1
Working,0,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,1,0
Continuing Education,3,Education - Elementary Education,Female,School of Education and Human Development,0,1
Working,3,Economics,Male,College and Graduate School of Arts & Sciences,1,1
Continuing Education,3,Biology,Female,College and Graduate School of Arts & Sciences,0,1
Working,1,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Continuing Education,3,Economics,Male,College and Graduate School of Arts & Sciences,0,1
Working,1,Global Studies - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,1
Working,3,Government,Female,College and Graduate School of Arts & Sciences,1,1
Working,2,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,1
Continuing Education,0,Human Biology - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,0
Working,2,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Working,1,Media Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Continuing Education,1,Engineering - Chemical Engineering,Female,School of Engineering & Applied Science,0,1
Working,2,Engineering - Computer Science,Female,School of Engineering & Applied Science,1,1
Working,2,Engineering - Biomedical Engineering,Male,School of Engineering & Applied Science,1,1
Working,1,Engineering - Chemical Engineering,Female,School of Engineering & Applied Science,1,1
Working,1,Statistics,Male,College and Graduate School of Arts & Sciences,1,1
Continuing Education,2,Cognitive Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,1
Working,0,Engineering - Mechanical Engineering,Female,School of Engineering & Applied Science,1,0
Working,1,Biology,Female,College and Graduate School of Arts & Sciences,1,1
Working,2,Engineering - Electrical Engineering,Female,School of Engineering & Applied Science,1,1
Working,1,Engineering - Civil Engineering,Female,School of Engineering & Applied Science,1,1
Working,1,Drama,Female,College and Graduate School of Arts & Sciences,1,1
Continuing Education,1,History,Female,College and Graduate School of Arts & Sciences,0,1
Working,1,Engineering - Engineering Science,Male,School of Engineering & Applied Science,1,1
Working,0,Education - Kinesiology,Female,School of Education and Human Development,1,0
Working,1,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,1,1
Working,1,Sociology,Female,College and Graduate School of Arts & Sciences,1,1
Working,2,Foreign Affairs,Female,College and Graduate School of Arts & Sciences,1,1
Continuing Education,2,Computer Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,1
Working,3,Psychology,Female,College and Graduate School of Arts & Sciences,1,1
Working,2,Engineering - Systems Engineering,Female,School of Engineering & Applied Science,1,1
Working,1,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Working,2,Economics,Male,College and Graduate School of Arts & Sciences,1,1
Continuing Education,2,Physics,Male,College and Graduate School of Arts & Sciences,0,1
Working,3,Engineering - Systems Engineering,Male,School of Engineering & Applied Science,1,1
Working,2,Psychology,Female,College and Graduate School of Arts & Sciences,1,1
Continuing Education,1,Mathematics,Male,College and Graduate School of Arts & Sciences,0,1
Working,1,Engineering - Electrical Engineering,Male,School of Engineering & Applied Science,1,1
Working,2,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,1,1
Volunteering,2,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,1
Continuing Education,2,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,1
Working,3,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,1
Working,2,Engineering - Computer Science,Female,School of Engineering & Applied Science,1,1
Working,2,Government,Male,College and Graduate School of Arts & Sciences,1,1
Working,2,Computer Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,3,English,Male,College and Graduate School of Arts & Sciences,1,1
Continuing Education,0,Mathematics,Male,College and Graduate School of Arts & Sciences,0,0
Working,1,Biology,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,Chemistry,Female,College and Graduate School of Arts & Sciences,1,0
Working,2,Biology,Male,College and Graduate School of Arts & Sciences,1,1
Working,1,Statistics,Female,College and Graduate School of Arts & Sciences,1,1
Working,1,Education - Elementary Education,Female,School of Education and Human Development,1,1
Working,1,Engineering - Systems Engineering,Female,School of Engineering & Applied Science,1,1
Continuing Education,3,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,1
Working,0,Computer Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,0
Continuing Education,0,French,Female,College and Graduate School of Arts & Sciences,0,0
Working,1,Economics,Male,College and Graduate School of Arts & Sciences,1,1
Continuing Education,1,Engineering - Biomedical Engineering,Male,School of Engineering & Applied Science,0,1
Working,3,Foreign Affairs,Female,College and Graduate School of Arts & Sciences,1,1
Continuing Education,0,Education - Speech Communication Disorders,Female,School of Education and Human Development,0,0
Continuing Education,0,Government,Male,College and Graduate School of Arts & Sciences,0,0
Working,3,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,1,1
Working,0,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,1,0
Continuing Education,1,Psychology,Female,College and Graduate School of Arts & Sciences,0,1
Continuing Education,3,Art - Studio Art,Female,College and Graduate School of Arts & Sciences,0,1
Working,1,Engineering - Civil Engineering,Female,School of Engineering & Applied Science,1,1
Working,2,English,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,Music,Male,College and Graduate School of Arts & Sciences,1,0
Working,0,Psychology,Female,College and Graduate School of Arts & Sciences,1,0
Working,3,Economics,Male,College and Graduate School of Arts & Sciences,1,1
Working,3,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Working,2,Engineering - Computer Science,Female,School of Engineering & Applied Science,1,1
Working,1,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,1
Working,1,Economics,Male,College and Graduate School of Arts & Sciences,1,1
Continuing Education,1,Engineering - Biomedical Engineering,Male,School of Engineering & Applied Science,0,1
Continuing Education,0,Sociology,Male,College and Graduate School of Arts & Sciences,0,0
Working,2,Engineering - Mechanical Engineering,Female,School of Engineering & Applied Science,1,1
Working,2,Neuroscience,Male,College and Graduate School of Arts & Sciences,1,1
Working,0,Spanish,Female,College and Graduate School of Arts & Sciences,1,0
Working,0,Environmental Sciences,Male,College and Graduate School of Arts & Sciences,1,0
Working,1,Cognitive Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,1,History,Female,College and Graduate School of Arts & Sciences,1,1
Working,2,Engineering - Chemical Engineering,Male,School of Engineering & Applied Science,1,1
Working,2,Computer Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,1,Engineering - Mechanical Engineering,Male,School of Engineering & Applied Science,1,1
Continuing Education,0,Cognitive Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,0
Working,3,Art - Art History,Female,College and Graduate School of Arts & Sciences,1,1
Continuing Education,3,Anthropology,Female,College and Graduate School of Arts & Sciences,0,1
Working,3,Engineering - Computer Engineering,Male,School of Engineering & Applied Science,1,1
Continuing Education,0,Cognitive Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,0
Working,0,Media Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,0
Continuing Education,0,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,0
Working,1,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,1
Working,2,Statistics,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,Spanish,Female,College and Graduate School of Arts & Sciences,1,0
Working,2,Psychology,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,Biology,Female,College and Graduate School of Arts & Sciences,1,0
Continuing Education,0,Economics,Male,College and Graduate School of Arts & Sciences,0,0
Working,3,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Continuing Education,0,Sociology,Male,College and Graduate School of Arts & Sciences,0,0
Working,1,Engineering - Biomedical Engineering,Male,School of Engineering & Applied Science,1,1
Working,2,African-American & African Studies,Female,College and Graduate School of Arts & Sciences,1,1
Continuing Education,2,Education - Kinesiology,Male,School of Education and Human Development,0,1
Working,1,Sociology,Female,College and Graduate School of Arts & Sciences,1,1
Working,1,Environmental Sciences,Female,College and Graduate School of Arts & Sciences,1,1
Working,2,Engineering - Mechanical Engineering,Male,School of Engineering & Applied Science,1,1
Working,2,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,1,1
Continuing Education,2,Economics,Female,College and Graduate School of Arts & Sciences,0,1
Continuing Education,1,Biology,Female,College and Graduate School of Arts & Sciences,0,1
Working,3,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,1,1
Working,0,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,0
Continuing Education,1,Economics,Male,College and Graduate School of Arts & Sciences,0,1
Working,2,Engineering - Aerospace Engineering,Male,School of Engineering & Applied Science,1,1
Working,1,Biology,Female,College and Graduate School of Arts & Sciences,1,1
Working,1,Biology,Female,College and Graduate School of Arts & Sciences,1,1
Working,2,American Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Continuing Education,2,Biology,Male,College and Graduate School of Arts & Sciences,0,1
Working,3,Biology,Female,College and Graduate School of Arts & Sciences,1,1
Continuing Education,2,Economics,Female,College and Graduate School of Arts & Sciences,0,1
Working,3,Economics,Male,College and Graduate School of Arts & Sciences,1,1
Working,1,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,1,1
Working,3,Mathematics,Male,College and Graduate School of Arts & Sciences,1,1
Working,1,Economics,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,Engineering - Chemical Engineering,Female,School of Engineering & Applied Science,1,0
Working,1,Engineering - Computer Engineering,Male,School of Engineering & Applied Science,1,1
Working,3,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Continuing Education,1,Economics,Female,College and Graduate School of Arts & Sciences,0,1
Working,3,Statistics,Male,College and Graduate School of Arts & Sciences,1,1
Continuing Education,2,Architecture,Female,School of Architecture,0,1
Continuing Education,3,Chemistry,Male,College and Graduate School of Arts & Sciences,0,1
Working,2,Economics,Female,College and Graduate School of Arts & Sciences,1,1
Working,1,Engineering - Civil Engineering,Female,School of Engineering & Applied Science,1,1
Working,1,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,1
Continuing Education,0,History,Male,College and Graduate School of Arts & Sciences,0,0
Working,3,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Continuing Education,2,Economics,Female,College and Graduate School of Arts & Sciences,0,1
Working,1,Computer Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,Cognitive Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,0
Continuing Education,2,Government,Female,College and Graduate School of Arts & Sciences,0,1
Working,1,Media Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Continuing Education,1,English,Female,College and Graduate School of Arts & Sciences,0,1
Working,2,Economics,Female,College and Graduate School of Arts & Sciences,1,1
Working,1,Engineering - Chemical Engineering,Male,School of Engineering & Applied Science,1,1
Working,1,Economics,Male,College and Graduate School of Arts & Sciences,1,1
Working,2,Engineering - Systems Engineering,Female,School of Engineering & Applied Science,1,1
Working,1,Engineering - Civil Engineering,Male,School of Engineering & Applied Science,1,1
Working,0,Statistics,Female,College and Graduate School of Arts & Sciences,1,0
Continuing Education,2,Engineering - Computer Science,Female,School of Engineering & Applied Science,0,1
Continuing Education,0,Physics,Male,College and Graduate School of Arts & Sciences,0,0
Working,2,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,1,1
Continuing Education,2,Economics,Male,College and Graduate School of Arts & Sciences,0,1
Working,1,Computer Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,1,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,1
Working,2,Spanish,Female,College and Graduate School of Arts & Sciences,1,1
Working,2,Engineering - Systems Engineering,Male,School of Engineering & Applied Science,1,1
Continuing Education,0,English,Female,College and Graduate School of Arts & Sciences,0,0
Working,3,Human Biology - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,1
Continuing Education,2,Engineering - Chemical Engineering,Male,School of Engineering & Applied Science,0,1
Working,2,Engineering - Computer Science,Female,School of Engineering & Applied Science,1,1
Working,3,Engineering - Mechanical Engineering,Male,School of Engineering & Applied Science,1,1
Working,0,Chemistry,Female,College and Graduate School of Arts & Sciences,1,0
Working,2,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,1,1
Working,2,Economics,Male,College and Graduate School of Arts & Sciences,1,1
Working,2,Economics,Male,College and Graduate School of Arts & Sciences,1,1
Continuing Education,1,History,Female,College and Graduate School of Arts & Sciences,0,1
Continuing Education,3,Media Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,1
Working,2,Anthropology,Female,College and Graduate School of Arts & Sciences,1,1
Working,1,Engineering - Mechanical Engineering,Female,School of Engineering & Applied Science,1,1
Working,3,Engineering - Civil Engineering,Male,School of Engineering & Applied Science,1,1
Working,1,History,Male,College and Graduate School of Arts & Sciences,1,1
Working,2,Economics,Female,College and Graduate School of Arts & Sciences,1,1
Working,2,Cognitive Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,3,Engineering - Systems Engineering,Female,School of Engineering & Applied Science,1,1
Continuing Education,0,Biology,Female,College and Graduate School of Arts & Sciences,0,0
Working,2,Engineering - Chemical Engineering,Male,School of Engineering & Applied Science,1,1
Working,2,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Working,1,Biology,Female,College and Graduate School of Arts & Sciences,1,1
Working,3,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,2,Economics,Male,College and Graduate School of Arts & Sciences,1,1
Working,1,Sociology,Female,College and Graduate School of Arts & Sciences,1,1
Continuing Education,1,Education - Youth & Social Innovation,Female,School of Education and Human Development,0,1
Working,2,American Studies - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,1
Working,3,Political & Social Thought - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Continuing Education,1,Biology,Female,College and Graduate School of Arts & Sciences,0,1
Working,1,Economics,Male,College and Graduate School of Arts & Sciences,1,1
Continuing Education,0,Psychology,Female,College and Graduate School of Arts & Sciences,0,0
Working,1,Engineering - Chemical Engineering,Female,School of Engineering & Applied Science,1,1
Continuing Education,0,Engineering - Chemical Engineering,Female,School of Engineering & Applied Science,0,0
Working,1,Statistics,Male,College and Graduate School of Arts & Sciences,1,1
Continuing Education,1,Engineering - Chemical Engineering,Female,School of Engineering & Applied Science,0,1
Working,2,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,1
Continuing Education,3,Engineering - Computer Science,Male,School of Engineering & Applied Science,0,1
Continuing Education,3,Engineering - Systems Engineering,Male,School of Engineering & Applied Science,0,1
Continuing Education,0,Physics,Male,College and Graduate School of Arts & Sciences,0,0
Working,2,Government,Female,College and Graduate School of Arts & Sciences,1,1
Continuing Education,2,Engineering - Electrical Engineering,Male,School of Engineering & Applied Science,0,1
Continuing Education,3,Media Studies - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,0,1
Working,0,Engineering - Mechanical Engineering,Female,School of Engineering & Applied Science,1,0
Working,3,Engineering - Civil Engineering,Male,School of Engineering & Applied Science,1,1
Working,1,Statistics,Female,College and Graduate School of Arts & Sciences,1,1
Working,2,Economics,Female,College and Graduate School of Arts & Sciences,1,1
Working,2,Engineering - Computer Engineering,Female,School of Engineering & Applied Science,1,1
Continuing Education,0,Education - Speech Communication Disorders,Female,School of Education and Human Development,0,0
Continuing Education,1,Economics,Female,College and Graduate School of Arts & Sciences,0,1
Working,1,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,1,1
Working,2,Art - Art History,Male,College and Graduate School of Arts & Sciences,1,1
Working,3,Engineering - Systems Engineering,Female,School of Engineering & Applied Science,1,1
Working,0,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,0
Continuing Education,0,Cognitive Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,0
Working,2,Engineering - Aerospace Engineering,Male,School of Engineering & Applied Science,1,1
Working,3,History,Female,College and Graduate School of Arts & Sciences,1,1
Working,3,Engineering - Systems Engineering,Male,School of Engineering & Applied Science,1,1
Working,1,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Continuing Education,3,Government,Female,College and Graduate School of Arts & Sciences,0,1
Working,3,Engineering - Mechanical Engineering,Male,School of Engineering & Applied Science,1,1
Continuing Education,2,Foreign Affairs,Male,College and Graduate School of Arts & Sciences,0,1
Working,1,Engineering - Chemical Engineering,Male,School of Engineering & Applied Science,1,1
Military,3,Engineering - Systems Engineering,Female,School of Engineering & Applied Science,0,1
Continuing Education,2,Chemistry,Male,College and Graduate School of Arts & Sciences,0,1
Working,2,Computer Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,History,Male,College and Graduate School of Arts & Sciences,1,0
Working,1,Engineering - Electrical Engineering,Male,School of Engineering & Applied Science,1,1
Working,0,Psychology,Female,College and Graduate School of Arts & Sciences,1,0
Working,2,Economics,Female,College and Graduate School of Arts & Sciences,1,1
Working,3,Economics,Male,College and Graduate School of Arts & Sciences,1,1
Working,1,Biology,Male,College and Graduate School of Arts & Sciences,1,1
Working,2,Engineering - Systems Engineering,Female,School of Engineering & Applied Science,1,1
Working,2,Engineering - Civil Engineering,Female,School of Engineering & Applied Science,1,1
Continuing Education,1,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,1
Working,3,Art - Studio Art,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,0
Continuing Education,3,Political & Social Thought - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,1
Working,1,Engineering - Mechanical Engineering,Female,School of Engineering & Applied Science,1,1
Continuing Education,0,Biology,Female,College and Graduate School of Arts & Sciences,0,0
Working,1,Engineering - Chemical Engineering,Male,School of Engineering & Applied Science,1,1
Working,2,Economics,Male,College and Graduate School of Arts & Sciences,1,1
Continuing Education,1,Chemistry,Female,College and Graduate School of Arts & Sciences,0,1
Continuing Education,1,Engineering - Biomedical Engineering,Male,School of Engineering & Applied Science,0,1
Continuing Education,0,Psychology,Male,College and Graduate School of Arts & Sciences,0,0
Working,1,Education - Kinesiology,Female,School of Education and Human Development,1,1
Working,1,Engineering - Systems Engineering,Female,School of Engineering & Applied Science,1,1
Working,3,Media Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,3,Biology,Male,College and Graduate School of Arts & Sciences,1,1
Working,3,Sociology,Female,College and Graduate School of Arts & Sciences,1,1
Continuing Education,1,Human Biology - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,1
Working,3,Economics,Male,College and Graduate School of Arts & Sciences,1,1
Continuing Education,0,Psychology,Female,College and Graduate School of Arts & Sciences,0,0
Continuing Education,2,Media Studies - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,0,1
Working,2,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,3,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,1,1
Continuing Education,3,Government,Female,College and Graduate School of Arts & Sciences,0,1
Continuing Education,2,Statistics,Female,College and Graduate School of Arts & Sciences,0,1
Working,3,Economics,Male,College and Graduate School of Arts & Sciences,1,1
Continuing Education,0,Psychology,Female,College and Graduate School of Arts & Sciences,0,0
Working,2,Foreign Affairs,Male,College and Graduate School of Arts & Sciences,1,1
Working,0,English,Female,College and Graduate School of Arts & Sciences,1,0
Continuing Education,0,Chemistry,Male,College and Graduate School of Arts & Sciences,0,0
Working,2,Biology,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,Economics,Female,College and Graduate School of Arts & Sciences,1,0
Working,0,Chemistry,Male,College and Graduate School of Arts & Sciences,1,0
Working,3,Political & Social Thought - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,1
Working,2,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,1
Working,3,Engineering - Biomedical Engineering,Male,School of Engineering & Applied Science,1,1
Working,2,Statistics,Male,College and Graduate School of Arts & Sciences,1,1
Working,2,Economics,Female,College and Graduate School of Arts & Sciences,1,1
Working,1,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Continuing Education,2,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,0,1
Continuing Education,0,Education - Kinesiology,Female,School of Education and Human Development,0,0
Working,3,Psychology,Female,College and Graduate School of Arts & Sciences,1,1
Working,2,Economics,Male,College and Graduate School of Arts & Sciences,1,1
Continuing Education,2,English,Female,College and Graduate School of Arts & Sciences,0,1
Working,2,English,Female,College and Graduate School of Arts & Sciences,1,1
Military,3,Psychology,Female,College and Graduate School of Arts & Sciences,0,1
Working,2,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,3,Environmental Sciences,Female,College and Graduate School of Arts & Sciences,1,1
Continuing Education,2,Government,Male,College and Graduate School of Arts & Sciences,0,1
Working,0,Biology,Female,College and Graduate School of Arts & Sciences,1,0
Continuing Education,0,Physics,Male,College and Graduate School of Arts & Sciences,0,0
Continuing Education,3,Engineering - Computer Science,Female,School of Engineering & Applied Science,0,1
Continuing Education,0,Biology,Male,College and Graduate School of Arts & Sciences,0,0
Working,1,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,1
Working,1,Biology,Female,College and Graduate School of Arts & Sciences,1,1
Working,1,Engineering - Systems Engineering,Male,School of Engineering & Applied Science,1,1
Continuing Education,3,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,1
Working,2,Media Studies - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,1
Working,1,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,1
Working,2,Engineering - Computer Science,Female,School of Engineering & Applied Science,1,1
Working,0,Japanese Language & Literature - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,0
Continuing Education,2,Economics,Male,College and Graduate School of Arts & Sciences,0,1
Working,0,Mathematics,Male,College and Graduate School of Arts & Sciences,1,0
Working,2,Mathematics,Female,College and Graduate School of Arts & Sciences,1,1
Working,3,Environmental Sciences,Male,College and Graduate School of Arts & Sciences,1,1
Working,3,Government,Male,College and Graduate School of Arts & Sciences,1,1
Working,3,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,1
Working,1,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Working,2,Economics,Female,College and Graduate School of Arts & Sciences,1,1
Working,3,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,1,1
Working,2,Engineering - Civil Engineering,Female,School of Engineering & Applied Science,1,1
Continuing Education,1,Engineering - Computer Science,Male,School of Engineering & Applied Science,0,1
Working,0,English,Male,College and Graduate School of Arts & Sciences,1,0
Continuing Education,0,Physics,Male,College and Graduate School of Arts & Sciences,0,0
Continuing Education,3,Art - Art History,Female,College and Graduate School of Arts & Sciences,0,1
Working,3,Economics,Female,College and Graduate School of Arts & Sciences,1,1
Working,2,Government,Female,College and Graduate School of Arts & Sciences,1,1
Working,2,Computer Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Continuing Education,1,Statistics,Female,College and Graduate School of Arts & Sciences,0,1
Working,0,English,Female,College and Graduate School of Arts & Sciences,1,0
Working,3,Media Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,1,Engineering - Civil Engineering,Female,School of Engineering & Applied Science,1,1
Continuing Education,0,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,0,0
Working,0,Physics,Male,College and Graduate School of Arts & Sciences,1,0
Working,3,Engineering - Mechanical Engineering,Male,School of Engineering & Applied Science,1,1
Continuing Education,0,History,Female,College and Graduate School of Arts & Sciences,0,0
Continuing Education,0,Human Biology - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,0
Working,0,Engineering - Computer Engineering,Male,School of Engineering & Applied Science,1,0
Working,3,Engineering - Mechanical Engineering,Male,School of Engineering & Applied Science,1,1
Working,3,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Continuing Education,1,Psychology,Female,College and Graduate School of Arts & Sciences,0,1
Working,2,Media Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,3,Statistics,Male,College and Graduate School of Arts & Sciences,1,1
Working,3,Engineering - Systems Engineering,Male,School of Engineering & Applied Science,1,1
Continuing Education,2,Statistics,Male,College and Graduate School of Arts & Sciences,0,1
Continuing Education,0,Education - Youth & Social Innovation,Female,School of Education and Human Development,0,0
Working,1,Statistics,Male,College and Graduate School of Arts & Sciences,1,1
Working,2,Political & Social Thought - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,1,Engineering - Computer Science,Female,School of Engineering & Applied Science,1,1
Working,2,Engineering - Computer Engineering,Female,School of Engineering & Applied Science,1,1
Working,2,Statistics,Female,College and Graduate School of Arts & Sciences,1,1
Working,2,Engineering - Computer Engineering,Male,School of Engineering & Applied Science,1,1
Continuing Education,1,History,Female,College and Graduate School of Arts & Sciences,0,1
Working,1,Engineering - Computer Science,Female,School of Engineering & Applied Science,1,1
Working,1,Art - Art History,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,Biology,Male,College and Graduate School of Arts & Sciences,1,0
Working,0,Cognitive Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,0
Continuing Education,0,Biology,Female,College and Graduate School of Arts & Sciences,0,0
Continuing Education,2,Engineering - Computer Engineering,Male,School of Engineering & Applied Science,0,1
Working,1,Engineering - Computer Engineering,Male,School of Engineering & Applied Science,1,1
Working,0,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,0
Continuing Education,1,Engineering - Computer Engineering,Male,School of Engineering & Applied Science,0,1
Continuing Education,1,Chemistry,Female,College and Graduate School of Arts & Sciences,0,1
Working,3,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Working,3,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
